Cod.;Nome;Fornecedor;Valor Unit.;Prazo recarga;Prazo cartão novo;UF;Cidade;Data Tarifa
15045;Metropasse - Cartão A872E Mapele / Ilha De São João X Terminal Pirajá Via Suburbana (Expresso Metropolitano);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15046;Metropasse - Cartão A0862A Góes Calmon X Estação Retiro (Expresso Metropolitano);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15047;Metropasse - Cartão A873A Mapele / Ilha De São João X Terminal Perajá Via Derba (Expresso Metropolitano);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15048;Metropasse - Cartão A0857A Canto Dos Pássaros X Terminal Aeroporto Via Ba 099 (Atlântico);Metropasse;7,40;5;10;BA;Salvador;06/05/2024
15049;Metropasse - Cartão 808I.Urb Camaçari X Terminal Mussurunga Via Parafuso (Avanço);Metropasse;7,40;5;10;BA;Salvador;06/05/2024
15050;Metropasse - Cartão 809.Urb Candeias X Terminal Aguas Claras (Avanço);Metropasse;7,40;5;10;BA;Salvador;06/05/2024
15051;Metropasse - Cartão 813.Urb Candeias X Simões Filho Via Br324 (Avanço);Metropasse;4,80;5;10;BA;Salvador;06/05/2024
15052;Metropasse - Cartão 814A.Urb Camaçari X Terminal Aguas Claras (Avanço);Metropasse;7,40;5;10;BA;Salvador;06/05/2024
15053;Metropasse - Cartão A0836.Urb Camaçari X São Francisco Do Conde Via Ba093 (Avanço);Metropasse;8,10;5;10;BA;Salvador;06/05/2024
15054;Metropasse - Cartão A0836A2 Camaçari X Santo Amaro (Avanço);Metropasse;10,70;5;10;BA;Salvador;06/05/2024
15055;Metropasse - Cartão A0855A Vida Nova X Lapa (Orla) (Avanço);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15056;Metropasse - Cartão A0862 Vida Nova X Boca Da Mata (Avanço);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15057;Metropasse - Cartão A0838 Areia Branca X Itaigara (Avanço);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15058;Metropasse - Cartão A0855A2 Jambeiro X Terminal Aeroporto, Via Capiarara/Ba-526 (Avanço);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15059;Metropasse - Cartão A083801 Vida Nova X Jambeiro (Avanço);Metropasse;5,20;5;10;BA;Salvador;06/05/2024
15060;Metropasse - Cartão A800 Camaçari X Retiro Via Ba 093 (Avanço);Metropasse;7,40;5;10;BA;Salvador;06/05/2024
15061;Metropasse - Cartão Camaçari X Simões Filho (Avanço);Metropasse;4,80;5;10;BA;Salvador;06/05/2024
15062;Metropasse - Cartão São Sebastião Do Passé X Calçada (Avanço);Metropasse;10,40;5;10;BA;Salvador;06/05/2024
15063;Metropasse - Cartão Madre De Deus X Lauro De Freitas (Avanço);Metropasse;10,40;5;10;BA;Salvador;06/05/2024
15540;Metropasse - Cartão A0855I.Urb Estação Aeroporto X Areia Branca (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15541;Metropasse - Cartão 845I.Urb Camaçari X Dias D´Avila (Via Polo/Fab.Ford) (Expresso Luxo Vitória);Metropasse;5,70;5;10;BA;Salvador;10/01/2025
15542;Metropasse - Cartão 844.Urb Camaçari X Nova Dias D´Avila via BA 093 (Expresso Luxo Vitória);Metropasse;4,50;5;10;BA;Salvador;10/01/2025
15543;Metropasse - Cartão 900.Urb D´Avila X Arembepe via Jauá (Expresso Luxo Vitória);Metropasse;4,50;5;10;BA;Salvador;10/01/2025
15544;Metropasse - Cartão A0883E2 Conjunto Lindu X Brisa via Caic (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15545;Metropasse - Cartão A0883A3EUrb Terminal Aeroporto X Parque São Paulo (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15546;Metropasse - Cartão A0840A Loteamento Miragem X Estação Mussurunga (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15547;Metropasse - Cartão A0840IUrb Estação Aeroporto X Vilas do Atlântico/Solar de Vilas (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15548;Metropasse - Cartão A0860I Portão X Piatã (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15549;Metropasse - Cartão A885E3.Urb Terminal Aeroporto X Alphaville 3 (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15551;Metropasse - Cartão A0885.Urb Jambeiro X Terminal Aeroporto Via Con Vila Bela (Expresso Luxo Vitória);Metropasse;5,20;5;10;BA;Salvador;10/01/2025
15552;Metropasse - Cartão A0889E Camaçari X Itapuã (Expresso Luxo Vitória);Metropasse;7,40;5;10;BA;Salvador;07/05/2025
15553;Metropasse - Cartão A803A2.Urb Nova Dias D´Avila X Terminal Águas Claras (Expresso Luxo Vitória);Metropasse;10,40;5;10;BA;Salvador;10/01/2025
15554;Metropasse - Cartão A861.Urb Mata de São João X Terminal Águas Claras (Expresso Luxo Vitória);Metropasse;10,40;5;10;BA;Salvador;10/01/2025
19498;Rota QR-Code - Itabuna X Itajuípe;Rota - QR-Code;7,00;5;10;BA;Itabuna;03/02/2026
19499;Rota QR-Code - Itabuna X Ilhéus;Rota - QR-Code;11,00;5;10;BA;Itabuna;03/02/2026
19500;Rota QR-Code - Itabuna X Barro Preto;Rota - QR-Code;9,50;5;10;BA;Itabuna;03/02/2026
19501;Rota QR-Code - Itabuna X Uruçuca;Rota - QR-Code;13,00;5;10;BA;Itabuna;03/02/2026
19502;Rota QR-Code - Itabuna X Itapé;Rota - QR-Code;7,50;5;10;BA;Itabuna;03/02/2026
19503;Rota QR-Code - Itabuna X Buerarema;Rota - QR-Code;7,00;5;10;BA;Itabuna;03/02/2026
351;Salvador Card - Cartão Municipal Salvador;Salvador Card;5,90;5;10;BA;Salvador;05/01/2026
5221;Viação Santa Clara - Cartão Municipal Duque de Caxias;Santa Clara;4,10;5;10;BA;Teixera de Freitas;23/02/2020
5227;Viação Santa Clara - Cartão Municipal Teixeira de Freitas;Santa Clara;3,70;5;10;BA;Teixera de Freitas;23/02/2020
9295;Joafra Transportes - Cartão Juazeiro X Sobradinho;Setranvasf (Joafra);16,00;5;10;BA;Juazeiro;30/08/2023
3825;Via Feira - Cartão Municipal Feira de Santana;Via Feira;5,40;5;10;BA;Feira de Santana;19/01/2026
15948;Viação Águia Azul - Cartão Arraial X Trancoso;Viação Águia Azul;18,00;5;10;BA;Arraial D ajuda;30/07/2025
2335;Viação Cidade de Barreiras - Cartão Municipal Barreiras;Viação Cidade de Barreiras;4,50;5;10;BA;Barreiras;21/01/2026
15467;Viação Itamaraju - Cartão Municipal Itamaraju;Viação Itamaraju;4,00;5;10;BA;Itamaraju;04/12/2024
15143;Viação Itapetinga - Cartão Municipal Itapetinga;Viação Itapetinga;4,00;5;10;BA;Itapetinga;17/06/2024
8877;Viação Cidade Porto Seguro - Cartão Municipal Porto Seguro;Viação Porto Seguro;5,00;5;10;BA;Porto Seguro;10/01/2025
10460;Meupasse - Cartão Pacajus X Fortaleza;Meupasse;11,00;5;10;CE;Pacajus;11/10/2023
15714;Meupasse - Cartão Pacajus X Pedras;Meupasse;8,15;5;10;CE;Pacajus;23/05/2025
16218;Meupasse - Cartão Fortaleza X Itaitinga;Meupasse;8,50;5;10;CE;Pacajus;29/10/2025
16281;Meupasse - Cartão Aquiraz X Porto das Dunas;Meupasse;4,50;5;10;CE;Pacajus;03/12/2025
6154;Sindiônibus - Juazeiro - Cartão Municipal Juazeiro (Cariri);Sindiônibus - Juazeiro;3,00;5;10;CE;Fortaleza;28/06/2023
6155;Sindiônibus - Juazeiro - Cartão Intermunicipal Juazeiro (Cariri);Sindiônibus - Juazeiro;4,65;5;10;CE;Fortaleza;06/01/2026
6593;Sindiônibus - Juazeiro - Cartão Missão Velha Juazeiro (Cariri);Sindiônibus - Juazeiro;8,00;5;10;CE;Fortaleza;15/04/2024
2651;Sindiônibus - Maracanaú - Cartão Urbana Maracanaú - Tipo G;Sindiônibus - Maracanau;3,67;5;10;CE;Fortaleza;08/09/2025
1840;Sindiônibus - Metropolitano - Cartão Tipo F - Metropolitano (2° Anel);Sindiônibus - Metropolitano;5,95;5;10;CE;Fortaleza;16/07/2022
2082;Sindiônibus - Metropolitano - Cartão Tipo E - Metropolitano (1° Anel);Sindiônibus - Metropolitano;4,80;5;10;CE;Fortaleza;16/07/2022
2655;Sindiônibus - Metropolitano - Cartão Tipo H - Metropolitano (3° Anel);Sindiônibus - Metropolitano;8,15;5;10;CE;Fortaleza;16/07/2022
2657;Sindiônibus - Metropolitano - Cartão Tipo I - Metropolitano (Seccionamento);Sindiônibus - Metropolitano;2,15;5;10;CE;Fortaleza;16/07/2022
2660;Sindiônibus - Metropolitano - Cartão Tipo J - Metropolitano (4° Anel);Sindiônibus - Metropolitano;10,75;5;10;CE;Fortaleza;16/07/2022
2662;Sindiônibus - Metropolitano - Cartão Tipo M - Metropolitano (5° Anel);Sindiônibus - Metropolitano;12,45;5;10;CE;Fortaleza;16/07/2022
2663;Sindiônibus - Metropolitano - Cartão Tipo S - Metropolitano (6° Anel);Sindiônibus - Metropolitano;17,20;5;10;CE;Fortaleza;16/07/2022
16042;Sindiônibus - Metropolitano - Cartão Tipo S;Sindiônibus - Metropolitano;0,01;5;10;CE;Fortaleza;27/08/2025
301;Sindiônibus - Urbano - Cartão Urbano Fortaleza;Sindiônibus - Urbano;5,40;5;10;CE;Fortaleza;06/01/2026
2367;Sindiônibus - Urbano - Cartão Parangaba X Papicu (Aeroporto Linha 66);Sindiônibus - Urbano;3,40;5;10;CE;Fortaleza;15/01/2022
459;BRB Mobilidade DF Trans - Cartão BRB Mobilidade (DF Trans);BRB Mobilidade - (DF Trans);0,01;5;10;DF;Brasília;01/01/2000
7077;BRB Mobilidade DF Trans - Cartão Tarifa 1;BRB Mobilidade - (DF Trans);2,70;5;10;DF;Brasília;13/01/2020
7078;BRB Mobilidade DF Trans - Cartão Tarifa 2;BRB Mobilidade - (DF Trans);3,80;5;10;DF;Brasília;13/01/2020
7079;BRB Mobilidade DF Trans - Cartão Tarifa 3;BRB Mobilidade - (DF Trans);5,50;5;10;DF;Brasília;13/01/2020
15732;Catedral - Cartão Brasilia X Jardim Ingá;Catedral - Eletrônico;9,30;5;10;DF;Brasília;26/02/2026
15733;Catedral - Cartão Gama X Jardim Ingá;Catedral - Eletrônico;6,10;5;10;DF;Brasília;26/02/2026
